t,u,theta,phi
4.53,-0.5235988,0.1486911,0.5249918
4.54,-0.5235988,0.1381208,0.5249918
4.55,-0.5235988,0.1266969,0.5249918
4.56,-0.5235988,0.1146188,0.5249918
4.57,-0.5235988,0.1018536,0.5201294
4.58,-0.5235988,0.08861709,0.5201294
4.59,-0.5235988,0.07477448,0.5249918
4.6,-0.5235988,0.06051337,0.5249918
4.61,-0.5235988,0.04602616,0.5249918
4.62,-0.5235988,0.03151664,0.5201294
4.63,-0.5235988,0.01661386,0.5249918
4.64,-0.5235988,0.001841687,0.5249918
4.65,-0.5235988,-0.01291064,0.5249918
4.66,-0.5235988,-0.02766597,0.5249918
4.67,-0.5235988,-0.04209756,0.5201294
4.68,-0.5235988,-0.0561089,0.5249918
4.69,-0.5235988,-0.06993085,0.5249918
4.7,-0.5235988,-0.08333948,0.5249918
4.71,-0.5235988,-0.09605327,0.5201294
4.72,-0.5235988,-0.1082924,0.5249918
4.73,-0.5235988,-0.1198941,0.5249918
4.74,-0.5235988,-0.1307727,0.5249918
4.75,-0.5235988,-0.1407005,0.5249918
4.76,-0.5235988,-0.1498089,0.5201294
4.77,-0.5235988,-0.1581544,0.5249918
4.78,-0.5235988,-0.1654848,0.5249918
4.79,-0.5235988,-0.171884,0.5249918
4.8,-0.5235988,-0.1772123,0.5298541
4.81,-0.5235988,-0.1815806,0.5201294
4.82,-0.5235988,-0.1847788,0.5201294
4.83,-0.5235988,-0.1868374,0.5249918
4.84,-0.5235988,-0.1877884,0.5249918
4.85,-0.5235988,-0.1876131,0.5249918
4.86,-0.5235988,-0.1863611,0.5249918
4.87,-0.5235988,-0.1842371,0.5249918
4.88,-0.5235988,-0.1809906,0.5298541
4.89,-0.5235988,-0.1765115,0.5249918
4.9,-0.5235988,-0.1711485,0.5249918
4.91,-0.5235988,-0.164838,0.5249918
4.92,-0.5235988,-0.157621,0.5249918
4.93,-0.5235988,-0.1495553,0.5249918
4.94,-0.5235988,-0.1406423,0.5249918
4.95,-0.5235988,-0.1308551,0.5249918
4.96,-0.5235988,-0.1202663,0.5249918
4.97,-0.5235988,-0.1091696,0.5249918
4.98,-0.5235988,-0.0972522,0.5249918
4.99,-0.5235988,-0.08501421,0.5249918
5,-0.5235988,-0.07222468,0.5201294
5.01,-0.5235988,-0.05903544,0.5201294
5.02,-0.5235988,-0.04554009,0.5249918
5.03,-0.5235988,-0.03191475,0.5249918
5.04,-0.5235988,-0.01812972,0.5249918
5.05,-0.5235988,-0.004208446,0.5249918
5.06,-0.5235988,0.009765662,0.5249918
5.07,-0.5235988,0.02350092,0.5249918
5.08,-0.5235988,0.03696669,0.5249918
5.09,-0.5235988,0.05032274,0.5249918
5.1,-0.5235988,0.06337206,0.5201294
5.11,-0.5235988,0.07590524,0.5249918
5.12,-0.5235988,0.08785323,0.5201294
5.13,-0.5235988,0.0993505,0.5298541
5.14,-0.5235988,0.1101661,0.5249918
5.15,-0.5235988,0.1204978,0.5249918
5.16,-0.5235988,0.1299742,0.5249918
5.17,-0.5235988,0.1386935,0.5249918
5.18,-0.5235988,0.1465967,0.5249918
5.19,-0.5235988,0.1535929,0.5249918
5.2,-0.5235988,0.159608,0.5249918
5.21,-0.5235988,0.1647946,0.5249918
5.22,-0.5235988,0.1690011,0.5249918
5.23,-0.5235988,0.1722606,0.5249918
5.24,-0.5235988,0.1743791,0.5249918
5.25,-0.5235988,0.1754754,0.5249918
5.26,-0.5235988,0.1755336,0.5249918
5.27,-0.5235988,0.1747305,0.5249918
5.28,-0.5235988,0.1729171,0.5249918
5.29,-0.5235988,0.1701902,0.5249918
5.3,-0.5235988,0.166334,0.5249918
5.31,-0.5235988,0.1616277,0.5249918
5.32,-0.5235988,0.1560066,0.5249918
5.33,-0.5235988,0.1495364,0.5201294
5.34,-0.5235988,0.1422235,0.5249918
5.35,-0.5235988,0.1339758,0.5249918
5.36,-0.5235988,0.1249677,0.5249918
5.37,-0.5235988,0.1153695,0.5249918
5.38,-0.5235988,0.1052597,0.5249918
5.39,-0.5235988,0.09449966,0.5249918
5.4,-0.5235988,0.08325596,0.5249918
5.41,-0.5235988,0.07140034,0.5249918
5.42,-0.5235988,0.05922865,0.5249918
5.43,-0.5235988,0.04691835,0.5249918
5.44,-0.5235988,0.0343223,0.5249918
5.45,-0.5235988,0.02152064,0.5249918
5.46,-0.5235988,0.008677895,0.5249918
5.47,-0.5235988,-0.004270626,0.5201294
5.48,-0.5235988,-0.01693863,0.5249918
5.49,-0.5235988,-0.02966018,0.5249918
5.5,-0.5235988,-0.04220089,0.5249918
5.51,-0.5235988,-0.05425186,0.5298541
5.52,-0.5235988,-0.06600983,0.5249918
5.53,-0.5235988,-0.07735227,0.5249918
5.54,-0.5235988,-0.08823004,0.5249918
5.55,-0.5235988,-0.09856045,0.5249918
